U,damp 1,damp 2,damp 3,freq 1,freq 2,freq 3
5.68E+01,-3.07E+00,-1.45E-01,-2.24E-02,4.82E+00,4.82E+01,5.69E+01
5.75E+01,-3.69E+00,-1.41E-01,-2.53E-02,4.21E+00,4.76E+01,5.68E+01
5.82E+01,-4.83E+00,-1.37E-01,-2.82E-02,3.37E+00,4.69E+01,5.68E+01
5.89E+01,-8.47E+00,-1.31E-01,-3.11E-02,2.02E+00,4.62E+01,5.67E+01
5.96E+01,-8.14E-02,-1.25E-01,-3.39E-02,0.00E+00,4.55E+01,5.67E+01
6.02E+01,-6.79E-02,-1.18E-01,-3.67E-02,0.00E+00,4.48E+01,5.66E+01
6.09E+01,-5.93E-02,-1.09E-01,-3.94E-02,0.00E+00,4.40E+01,5.66E+01
6.16E+01,-5.27E-02,-9.88E-02,-4.20E-02,0.00E+00,4.32E+01,5.66E+01
6.23E+01,-4.74E-02,-8.73E-02,-4.44E-02,0.00E+00,4.24E+01,5.66E+01
6.30E+01,-4.27E-02,-7.36E-02,-4.68E-02,0.00E+00,4.16E+01,5.66E+01
6.37E+01,-3.87E-02,-5.79E-02,-4.92E-02,0.00E+00,4.08E+01,5.65E+01
6.44E+01,-3.51E-02,-4.01E-02,-5.14E-02,0.00E+00,4.00E+01,5.65E+01
6.51E+01,-3.18E-02,-1.96E-02,-5.36E-02,0.00E+00,3.92E+01,5.65E+01
6.58E+01,-2.88E-02,3.44E-03,-5.57E-02,0.00E+00,3.84E+01,5.65E+01
6.65E+01,-2.61E-02,2.91E-02,-5.77E-02,0.00E+00,3.76E+01,5.65E+01
6.72E+01,-2.35E-02,5.69E-02,-5.97E-02,0.00E+00,3.69E+01,5.65E+01
6.79E+01,-2.12E-02,8.74E-02,-6.16E-02,0.00E+00,3.61E+01,5.65E+01
6.86E+01,-1.89E-02,1.20E-01,-6.35E-02,0.00E+00,3.54E+01,5.65E+01
6.93E+01,-1.69E-02,1.54E-01,-6.53E-02,0.00E+00,3.48E+01,5.66E+01
7.00E+01,-1.49E-02,1.90E-01,-6.71E-02,0.00E+00,3.41E+01,5.66E+01
